,°Å·¡±Ý¾×,°Å·¡À¯Çü,°ÇÃà³âµµ,³â,µµ·Î¸í,µµ·Î¸í°Ç¹°º»¹øÈ£ÄÚµå,µµ·Î¸í°Ç¹°ºÎ¹øÈ£ÄÚµå,µµ·Î¸í½Ã±º±¸ÄÚµå,µµ·Î¸íÀÏ·Ã¹øÈ£ÄÚµå,µµ·Î¸íÁö»óÁöÇÏÄÚµå,µµ·Î¸íÄÚµå,¹ýÁ¤µ¿,¹ýÁ¤µ¿º»¹øÄÚµå,¹ýÁ¤µ¿ºÎ¹øÄÚµå,¹ýÁ¤µ¿½Ã±º±¸ÄÚµå,¹ýÁ¤µ¿À¾¸éµ¿ÄÚµå,¹ýÁ¤µ¿Áö¹øÄÚµå,¾ÆÆÄÆ®,¿ù,ÀÏ,ÀÏ·Ã¹øÈ£,Àü¿ë¸éÀû,Áß°³»ç¼ÒÀçÁö,Áö¹ø,Áö¿ªÄÚµå,Ãþ,ÇØÁ¦»çÀ¯¹ß»ýÀÏ,ÇØÁ¦¿©ºÎ
0,"5,450",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,1,3,46720-8,59.4,,101-1,46720,11,,
0,"2,800",,1991,2012,À¾³»2±æ,00006,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0792,0002,46720,25021,1,¼­ÀÏ1,2,14,46720-1,79.01,,792-2,46720,1,,
1,"8,800",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,2,1,46720-6,79.1485,,535-1,46720,1,,
2,"7,800",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,2,22,46720-6,57.817,,535-1,46720,3,,
0,"8,130",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,3,15,46720-6,57.817,,535-1,46720,11,,
1,"7,300",,1997,2012,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,3,16,46720-3,84.93,,535-5,46720,1,,
0,"3,900",,1992,2012,ÇÐÁ¤3±æ,00018,00000,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0664,0001,46720,25022,1,¼­ÀÏ2,4,30,46720-4,59.91,,664-1,46720,5,,
1,"9,450",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,4,30,46720-6,79.1485,,535-1,46720,5,,
2,"5,400",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,4,30,46720-8,59.4,,101-1,46720,4,,
0,"5,000",,1996,2012,À¾³»2±æ,00013,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0788,0006,46720,25021,1,°í¿î(788-6),5,3,46720-7,59.46,,788-6,46720,4,,
1,"9,000",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,5,3,46720-6,79.1485,,535-1,46720,11,,
2,"8,300",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,5,8,46720-6,57.817,,535-1,46720,6,,
3,"5,500",,1997,2012,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,5,29,46720-3,59.91,,535-5,46720,10,,
4,"2,930",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,5,27,46720-8,41.265,,101-1,46720,10,,
0,"4,600",,1996,2012,À¾³»2±æ,00013,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0788,0006,46720,25021,1,°í¿î(788-6),6,1,46720-7,59.46,,788-6,46720,6,,
1,"14,200",,2010,2012,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,6,25,46720-21,84.7143,,533-21,46720,9,,
2,"3,900",,1992,2012,ÇÐÁ¤3±æ,00018,00000,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0664,0001,46720,25022,1,¼­ÀÏ2,6,29,46720-4,59.91,,664-1,46720,3,,
3,"5,000",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,6,5,46720-8,59.4,,101-1,46720,7,,
0,"5,000",,1997,2012,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,7,6,46720-3,59.91,,535-5,46720,11,,
1,"8,200",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,7,6,46720-6,57.817,,535-1,46720,14,,
0,"13,600",,2010,2012,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,8,10,46720-21,84.7143,,533-21,46720,2,,
1,"5,750",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,8,9,46720-8,59.4,,101-1,46720,8,,
0,"4,950",,1996,2012,À¾³»2±æ,00013,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0788,0006,46720,25021,1,°í¿î(788-6),9,14,46720-7,59.46,,788-6,46720,4,,
1,"6,500",,1997,2012,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,9,10,46720-3,59.91,,535-5,46720,2,,
2,"6,600",,1997,2012,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,9,28,46720-3,59.91,,535-5,46720,3,,
0,"14,000",,2010,2012,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,10,26,46720-21,84.7143,,533-21,46720,10,,
1,"14,700",,2010,2012,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,10,31,46720-21,84.7143,,533-21,46720,7,,
0,"5,600",,1996,2012,À¾³»2±æ,00013,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0788,0006,46720,25021,1,°í¿î(788-6),11,21,46720-7,59.46,,788-6,46720,3,,
1,"6,000",,1997,2012,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,11,23,46720-3,59.91,,535-5,46720,7,,
0,"7,500",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,12,17,46720-6,57.817,,535-1,46720,14,,
1,"14,000",,2010,2012,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,12,18,46720-21,84.7143,,533-21,46720,8,,
2,"6,500",,2004,2012,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,12,24,46720-6,79.1485,,535-1,46720,6,,
3,"5,400",,1992,2012,Á×¸²5±æ,00003,00000,46720,01,0,4661303,¿Á°ú¸é Á×¸²¸®,0204,0002,46720,37022,1,°í¿îÆÄÅ©¸Ç¼Ç,12,3,46720-5,59.4,,204-2,46720,1,,
4,"2,500",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,12,12,46720-8,41.265,,101-1,46720,4,,
5,"2,000",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,12,14,46720-8,41.265,,101-1,46720,12,,
6,"6,000",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,12,15,46720-8,59.4,,101-1,46720,11,,
7,"2,800",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,12,18,46720-8,41.265,,101-1,46720,11,,
8,"3,500",,1992,2012,Á×¸²5±æ,00003,00000,46720,01,0,4661303,¿Á°ú¸é Á×¸²¸®,0204,0002,46720,37022,1,°í¿îÆÄÅ©¸Ç¼Ç,12,21,46720-5,59.4,,204-2,46720,3,,
9,"5,000",,1998,2012,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,12,24,46720-8,59.4,,101-1,46720,2,,
0,"15,000",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,1,22,46720-21,84.7143,,533-21,46720,4,,
0,"4,500",,1996,2013,À¾³»2±æ,00013,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0788,0006,46720,25021,1,°í¿î(788-6),2,26,46720-7,59.46,,788-6,46720,6,,
1,"5,800",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,2,5,46720-8,59.4,,101-1,46720,6,,
2,"6,000",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,2,15,46720-8,59.4,,101-1,46720,10,,
0,"5,500",,1996,2013,À¾³»2±æ,00013,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0788,0006,46720,25021,1,°í¿î(788-6),3,7,46720-7,59.46,,788-6,46720,2,,
1,"14,000",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,3,21,46720-21,84.7143,,533-21,46720,5,,
2,"3,500",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,3,4,46720-8,41.265,,101-1,46720,7,,
3,"5,000",,1992,2013,Á×¸²5±æ,00003,00000,46720,01,0,4661303,¿Á°ú¸é Á×¸²¸®,0204,0002,46720,37022,1,°í¿îÆÄÅ©¸Ç¼Ç,3,11,46720-5,59.4,,204-2,46720,1,,
0,"4,000",,1985,2013,ÇÐ±³·Î,00093,00000,46720,01,0,3287025,°î¼ºÀ¾ À¾³»¸®,0721,0001,46720,25021,1,¼ÛÁ¦,4,6,46720-2,58.4,,721-1,46720,3,,
1,"7,800",,1997,2013,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,4,16,46720-3,84.93,,535-5,46720,2,,
2,"11,100",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,4,17,46720-21,59.6581,,533-21,46720,8,,
3,"13,600",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,4,23,46720-21,84.7143,,533-21,46720,2,,
4,"6,400",,1997,2013,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,4,29,46720-3,59.91,,535-5,46720,1,,
0,"13,600",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,5,1,46720-21,84.7143,,533-21,46720,2,,
1,"13,200",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,5,6,46720-21,84.7143,,533-21,46720,1,,
2,"16,200",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,5,21,46720-21,84.7143,,533-21,46720,8,,
3,"6,700",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,5,22,46720-8,59.4,,101-1,46720,10,,
4,"6,000",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,5,28,46720-8,59.4,,101-1,46720,3,,
0,"3,000",,1985,2013,ÇÐ±³·Î,00093,00000,46720,01,0,3287025,°î¼ºÀ¾ À¾³»¸®,0721,0001,46720,25021,1,¼ÛÁ¦,6,6,46720-2,58.4,,721-1,46720,3,,
1,"2,500",,1996,2013,À¾³»2±æ,00013,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0788,0006,46720,25021,1,°í¿î(788-6),6,12,46720-7,59.46,,788-6,46720,1,,
2,"6,300",,1991,2013,À¾³»2±æ,00006,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0792,0002,46720,25021,1,¼­ÀÏ1,6,21,46720-1,73.73,,792-2,46720,5,,
3,"3,400",,1985,2013,ÇÐ±³·Î,00093,00000,46720,01,0,3287025,°î¼ºÀ¾ À¾³»¸®,0721,0001,46720,25021,1,¼ÛÁ¦,6,24,46720-2,58.8,,721-1,46720,2,,
4,"7,000",,2004,2013,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,6,25,46720-6,57.817,,535-1,46720,1,,
5,"8,000",,2004,2013,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,6,25,46720-6,57.817,,535-1,46720,7,,
6,"9,800",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,6,26,46720-21,59.6581,,533-21,46720,5,,
7,"13,600",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,6,30,46720-21,84.7143,,533-21,46720,2,,
8,"6,000",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,6,19,46720-8,59.4,,101-1,46720,9,,
0,"12,000",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,7,5,46720-21,59.6581,,533-21,46720,3,,
1,"13,400",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,7,14,46720-21,84.7143,,533-21,46720,1,,
2,"13,500",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,7,17,46720-21,84.7143,,533-21,46720,1,,
3,"3,600",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,7,10,46720-8,41.265,,101-1,46720,11,,
0,"3,430",,1985,2013,ÇÐ±³·Î,00093,00000,46720,01,0,3287025,°î¼ºÀ¾ À¾³»¸®,0721,0001,46720,25021,1,¼ÛÁ¦,8,27,46720-2,58.8,,721-1,46720,4,,
0,"7,300",,1997,2013,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,9,9,46720-3,59.91,,535-5,46720,1,,
1,"8,800",,2004,2013,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,9,27,46720-6,57.817,,535-1,46720,11,,
0,"6,300",,1996,2013,À¾³»2±æ,00013,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0788,0006,46720,25021,1,°í¿î(788-6),10,11,46720-7,59.46,,788-6,46720,6,,
1,"7,200",,1997,2013,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,10,18,46720-3,59.91,,535-5,46720,7,,
2,"5,700",,1992,2013,Á×¸²5±æ,00003,00000,46720,01,0,4661303,¿Á°ú¸é Á×¸²¸®,0204,0002,46720,37022,1,°í¿îÆÄÅ©¸Ç¼Ç,10,8,46720-5,59.4,,204-2,46720,3,,
3,"3,900",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,10,10,46720-8,41.265,,101-1,46720,12,,
4,"3,950",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,10,13,46720-8,41.265,,101-1,46720,2,,
5,"3,500",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,10,25,46720-8,41.265,,101-1,46720,12,,
0,"6,600",,1997,2013,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,11,14,46720-3,59.91,,535-5,46720,12,,
1,"5,500",,1992,2013,Á×¸²5±æ,00003,00000,46720,01,0,4661303,¿Á°ú¸é Á×¸²¸®,0204,0002,46720,37022,1,°í¿îÆÄÅ©¸Ç¼Ç,11,19,46720-5,73.98,,204-2,46720,3,,
0,"3,200",,1991,2013,À¾³»2±æ,00006,00000,46720,01,0,4661270,°î¼ºÀ¾ À¾³»¸®,0792,0002,46720,25021,1,¼­ÀÏ1,12,27,46720-1,82.55,,792-2,46720,5,,
1,"4,500",,1997,2013,»ïÀÎµ¿±æ,00013,00000,46720,01,,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0005,46720,25022,1,µµ¸²,12,13,46720-3,59.91,,535-5,46720,9,,
2,"12,000",,2010,2013,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,12,20,46720-21,59.6581,,533-21,46720,2,,
3,"9,000",,2004,2013,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,12,27,46720-6,79.1485,,535-1,46720,9,,
4,"3,000",,1998,2013,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,12,26,46720-8,41.265,,101-1,46720,11,,
0,"16,000",,2010,2014,ÇÐÁ¤3±æ,00020,00002,46720,01,0,4661337,°î¼ºÀ¾ ÇÐÁ¤¸®,0533,0021,46720,25022,1,°î¼º±âÂ÷¸¶À»¾Æ¶ß¸®¿ò,2,4,46720-21,84.7143,,533-21,46720,10,,
1,"8,500",,2004,2014,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,2,21,46720-6,57.817,,535-1,46720,11,,
2,"10,500",,2004,2014,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,2,28,46720-6,79.1485,,535-1,46720,2,,
3,"4,500",,1998,2014,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,2,5,46720-8,59.4,,101-1,46720,3,,
4,"3,300",,1998,2014,Á×¸²2±æ,00045,00000,46720,01,0,4661302,¿Á°ú¸é Á×¸²¸®,0101,0001,46720,37022,1,¼º¾Ï¸Ç¼Ç,2,7,46720-8,41.265,,101-1,46720,2,,
0,"9,500",,2004,2014,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,3,20,46720-6,57.817,,535-1,46720,6,,
1,"11,500",,2004,2014,»ïÀÎµ¿±æ,00021,00000,46720,01,0,4661140,°î¼ºÀ¾ ÇÐÁ¤¸®,0535,0001,46720,25022,1,ÇÑ¾çÆÄÅ©ºô,3,20,46720-6,79.1485,,535-1,46720,8,,
